Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
LOVABLE,Lovable Lingerie Limited,LOVABLE LINGERIE LTD.,B ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
LOYAL,Loyal Equipments Limited,Loyal Equipments Ltd,B ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments
LOYALTEX,Loyal Textiles Mills Ltd,LOYAL TEXTILE MILLS LTD.-$,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
LPDC,Landmark Property Development Company Ltd.,LANDMARK PROPERTY DEVELOPMENT COMPANY LTD.,B ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
LT,Larsen & Toubro Limited,LARSEN & TOUBRO LTD.,A ,N,N,100,Industrials,Construction,Construction,"Engineering, Designing & Construction"
LTI,Larsen & Toubro Infotech Limited,Larsen & Toubro Infotech Ltd,A ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
LTTS,L&T Technology Services Limited,L&T Technology Services Ltd,A ,N,N,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
LUCENT,LUCENT INDUSTRIES LIMITED,Lucent Industries Ltd,T ,N,N,100,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
LUDLOWJUT,Ludlow Jute & Specialities Ltd,LUDLOW JUTE & SPECIALITIES LTD.,X ,N,N,100,Commodities,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
LUHARUKA,Luharuka Media & Infra Limited,Luharuka Media & Infra Ltd,X ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
LUMAXIND,"Lumax Industries Ltd.,",LUMAX INDUSTRIES LTD.,B ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LUMAXTECH,Lumax Auto Technologies Ltd.,LUMAX AUTO TECHNOLOGIES LTD.,B ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
LUPIN,Lupin Ltd,LUPIN LTD.,A ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LUXIND,LUX Industries Limited,Lux Industries Ltd,B ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
LWSKNIT,LWS Knitwear Ltd,LWS KNITWEAR LTD.,XT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
LXCHEM,Laxmi Organic Industries Limited,Laxmi Organic Industries Ltd,A ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
LXMIATO,"Lakshmi Automatic Loom Works Ltd.,",LAKSHMI AUTOMATIC LOOM WORKS LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Machinery
LYKALABS,"Lyka Labs Ltd.,",LYKA LABS LTD.,B ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
LYKISLTD,Lykis Limited,Lykis Limited,X ,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
LYNMC,"Lynx Machinery & Commercials Ltd.,",LYNX MACHINERY & COMMERCIALS LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Machinery
