Symbol,Company Name,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
1STCUS,"First Custodian Fund India Ltd.,",FIRST CUSTODIAN FUND (INDIA) LTD.,XT,N,D,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
20MICRONS,20 Microns Limited,20 MICRONS LTD.,B ,N,N,100,Commodities,Metals & Mining,Minerals & Mining,Industrial Minerals
21STCENMGM,Twentyfirst Century Management Serv,TWENTYFIRST CENTURY MANAGEMENT SERVICES LTD.,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Other Capital Market related Services
3IINFOTECH,3i Infotech limited,3I INFOTECH LTD.,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
3MINDIA,3M India Ltd.,3M INDIA LTD.,A ,N,N,100,Diversified,Diversified,Diversified,Diversified
3PLAND,3P LAND HOLDINGS LTD.,3P Land Holdings Ltd,B ,N,N,100,Financial Services,Financial Services,Finance,Investment Company
4THGEN,Fourth Generation Information Systems Ltd,FOURTH GENERATION INFORMATION SYSTEMS LTD.,XT,N,N,100,Information Technology,Information Technology,IT - Software,Software Products
5PAISA,5paisa Capital Limited,5paisa Capital Ltd,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
63MOONS,63 Moons Technologies Limited,63 Moons Technologies Ltd,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
7NR,7NR Retail Limited,7NR Retail Ltd,B ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
7SEASL,7SEAS ENTERTAINMENT LIMITED,7Seas Entertainment Ltd,X ,N,N,100,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
7TEC,Saven Technologies Ltd.,SAVEN TECHNOLOGIES LTD.,X ,N,N,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
A2ZINFRA,A2Z Infra Engineering Limited,A2Z Infra Engineering Limited,B ,N,N,100,Industrials,Construction,Construction,"Engineering, Designing & Construction"
AADIIND,Aadi Industries Ltd,AADI INDUSTRIES LTD.,X ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AAIL,Akar Auto Industries Limited,Akar Auto Industries Ltd,X ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
AAL,A-1 Acid Limited,A-1 Acid Ltd,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Trading - Chemicals
AANANDALAK,Aananda Lakshmi Spinning Mills Limited,Aananda Lakshmi Spinning Mills Ltd,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AANCHALISP,Aanchal Ispat Limited,Aanchal Ispat Ltd,T ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AAPLUSTRAD,AA Plus Tradelink Limited,AA Plus Tradelink Ltd,M ,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
AARNAV,AARNAV FASHIONS LIMITED,Aarnav Fashions Ltd,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Trading - Textile Products
AARSHYAM,Aar Shyam India Investment Company Limited,Aar Shyam India Investment Company Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AARTECH,Aartech Solonics Limited,Aartech Solonics Ltd,M ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
AARTIDRUGS,Aarti Drugs Limited,AARTI DRUGS LTD.,A ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AARTIIND,Aarti Industries Ltd,AARTI INDUSTRIES LTD.,A ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARTISURF,Aarti Surfactants Limited,Aarti Surfactants Ltd,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AARVEEDEN,"Aarvee Denims & Exports Ltd.,",AARVEE DENIMS & EXPORTS LTD.,B ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AARVINFRA,AARV Infratel Limited,AARV Infratel Ltd,P ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AASHKA,Aashka Hospitals Limited,Aashka Hospitals Ltd,M ,N,N,100,Healthcare,Healthcare,Healthcare Services,Hospital
AASTAFIN,Aastamangalam Finance Limited,Aastamangalam Finance Ltd,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AAVAS,AAVAS Financiers Limited,AAVAS Financiers Ltd,A ,N,N,100,Financial Services,Financial Services,Finance,Housing Finance Company
AAYUSH,Aayush Food And Herbs Limited,Aayush Food and Herbs Ltd,X ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
ABAN,"Aban  Offshore Ltd.,",ABAN OFFSHORE LTD.,B ,N,N,100,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ABANSENT,ABans Enterprises Limited,Abans Enterprises Ltd,X ,N,N,100,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Metals
ABATEAS,ABATE AS INDUSTRIES LIMITED,Abate As Industries Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ABB,ABB India Limited,ABB India Limited,A ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
ABBOTINDIA,Abbott India Ltd.,ABBOTT INDIA LTD.,A ,N,D,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ABCAPITAL,Aditya Birla Capital Ltd,Aditya Birla Capital Ltd,A ,N,N,100,Financial Services,Financial Services,Insurance,Life Insurance
ABCGAS,ABC Gas International Ltd.,ABC GAS (INTERNATIONAL) LTD.,XT,N,N,100,Commodities,Metals & Mining,Non - Ferrous Metals,Copper
ABCINDQ,ABC India Ltd.,ABC INDIA LTD.-$,X ,N,N,100,Services,Services,Transport Services,Road Transport
ABFRL,Aditya Birla Fashion and Retail Limited,Aditya Birla Fashion and Retail Ltd,A ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Speciality Retail
ABHICAP,Abhinav Capital Services Limited,ABHINAV CAPITAL SERVICES LTD.,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ABHIFIN,Abhishek Finlease limited,Abhishek Finlease Ltd,XT,N,N,100,Services,Services,Commercial Services & Supplies,Consulting Services
ABHIINFRA,Abhishek Infraventures Limited,Abhishek Infraventures Ltd,X ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ABHIJIT,Abhijit Trading Co. Ltd.,Abhijit Trading Company Ltd,XT,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
ABIRAFN,Abirami Financial Services India,ABIRAMI FINANCIAL SERVICES (INDIA) LTD.,Z ,N,D,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ABMKNO,ABM Knowledgeware Ltd.,ABM KNOWLEDGEWARE LTD.,X ,N,N,100,Information Technology,Information Technology,IT - Software,Software Products
ABSLAMC,Aditya Birla Sun Life AMC Limited,Aditya Birla Sun Life AMC Ltd,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Asset Management Company
ABSLBANETF,Aditya Birla Sun Life Mutual Fund,ADITYA BIRLA SUN LIFE BANKING ETF,B ,N,N,100,-,-,-,-
ABSLNN50ET,Aditya Birla Sun Life Mutual Fund,Aditya Birla Sun Life Nifty Next 50 ETF,B ,N,N,100,-,-,-,-
ABVL,Arunjyoti Bio Ventures Limited ,Arunjyoti Bio Ventures Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
ACC,ACC Ltd,ACC LTD.,A ,N,N,100,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
ACCEL,ACCEL LIMITED,Accel Ltd,X ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ACCELYA,ACCELYA SOLUTIONS INDIA LIMITED,Accelya Solutions India Ltd,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ACE,Action Construction Equipments Ltd.,ACTION CONSTRUCTION EQUIPMENT LTD.,A ,N,N,100,Industrials,Capital Goods,"Agricultural, Commercial & Construction Vehicles",Construction Vehicles
ACEEDU,ACE EDUTREND LIMITED,ACE Edutrend Ltd,Z ,N,N,100,Consumer Discretionary,Consumer Services,Other Consumer Services,Education
ACEENGITEC,ACE ENGITECH LIMITED,Ace Engitech Ltd,XT,N,D,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
ACEMEN,ACE MEN ENGG WORKS LIMITED,Ace Men Engg Works Ltd,XT,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Distributors
ACESOFT,Ace Software Exports ltd.,ACE SOFTWARE EXPORTS LTD.-$,X ,N,N,100,Information Technology,Information Technology,IT - Software,Software Products
ACEWIN,ACEWIN AGRITECK LIMITED,Acewin Agriteck Ltd,MT,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Other Food Products
ACFL,APEX CAPITAL AND FINANCE LIMITED,Apex Capital And Finance Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACFSL,Amrapali Capital and Finance Services Limited,Amrapali Capital and Finance Services Ltd,M ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACGL,"Automobile Corpn. of Goa Ltd.,",AUTOMOBILE CORPORATION OF GOA LTD.-$,X ,N,D,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ACHYUT,Achyut Healthcare Limited,Achyut Healthcare Ltd,M ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ACIIN,ACI Infocom Ltd.,ACI INFOCOM LTD.,X ,N,N,100,Information Technology,Information Technology,IT - Hardware,Computers Hardware & Equipments
ACKNIT,Acknit Industries Ltd,ACKNIT INDUSTRIES LTD.,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ACME,Acme Resources Limited,Acme Resources Ltd,Z ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ACML,ADITYA CONSUMER MARKETING LIMITED,Aditya Consumer Marketing Ltd,M ,N,N,100,Consumer Discretionary,Consumer Services,Retailing,Diversified Retail
ACROW,"Acrow India Ltd.,",ACROW INDIA LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ACRYSIL,Acrysil Ltd.,ACRYSIL LTD.,A ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,Household Appliances
ACTIVE,Active Clothing Co  Limited,Active Clothing Co Ltd,T ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
ADANIENT,Adani Enterprises Ltd.,ADANI ENTERPRISES LTD.,A ,N,D,100,Commodities,Metals & Mining,Metals & Minerals Trading,Trading - Minerals
ADANIGREEN,Adani Green Energy Limited,Adani Green Energy Ltd,A ,N,N,100,Utilities,Power,Power,Electric Utilities
ADANIPORTS,Adani Ports and Special Economic Zone Ltd,ADANI PORTS AND SPECIAL ECONOMIC ZONE LTD.,A ,N,N,100,Services,Services,Transport Infrastructure,Port & Port services
ADANIPOWER,Adani Power Limited,ADANI POWER LTD.,A ,N,N,100,Utilities,Power,Power,Electric Utilities
ADANITRANS,Adani Transmission Limited,Adani Transmission Ltd,A ,N,N,100,Utilities,Power,Power,Power - Transmission
ADARSH,Adarsh Mercantile Limited,Adarsh Mercantile Ltd,XT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
ADARSHPL,Adarsh Plant Project Ltd.,ADARSH PLANT PROTECT LTD.,XT,N,N,100,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
ADCINDIA,ADC India Communications Limited,ADC India Communications Limited-$,X ,N,N,100,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
ADCON,Adcon Capital Services Limited,Adcon Capital Services Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADDIND,"Addi Industries Ltd.,",ADDI INDUSTRIES LTD.-$,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Garments & Apparels
ADESHWAR,Adeshwar Meditex Limited,Adeshwar Meditex Ltd,M ,N,N,100,Healthcare,Healthcare,Healthcare Services,"Healthcare Research, Analytics & Technology"
ADFFOODS,ADF Foods Limited.,ADF FOODS LTD.-$,B ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Food Products,Packaged Foods
ADHARSHILA,ADHARSHILA CAPITAL SERVICES LIMITED,Adharshila Capital Services Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADHBHUTIN,Adhbhut Infrastructure Ltd.,Adhbhut Infrastructure Ltd,Z ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ADHIRAJ,Adhiraj Distributors Limited,Adhiraj Distributors Ltd,IP,N,N,100,-,-,-,-
ADIEXRE,Adinath Exim Resources Ltd.,ADINATH EXIM RESOURCES LTD.,XT,N,N,100,Financial Services,Financial Services,Finance,Investment Company
ADINATH,"Adinath Textiles Ltd.,",ADINATH TEXTILES LTD.,XT,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ADISHAKTI,Adishakti Loha and Ispat Limited,Adishakti Loha and Ispat Ltd,M ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ADITYA,Aditya Ispat Ltd.,ADITYA ISPAT LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
ADITYASP,Aditya Spinners Ltd.,ADITYA SPINNERS LTD.,XT,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ADL,Archidply Decor Limited,Archidply Decor Ltd,T ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,Plywood Boards/ Laminates
ADLINE,ADLINE CHEM LAB LIMITED,Adline Chem Lab Ltd,P ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ADMANUM,AD-Manum Finance Ltd,AD-MANUM FINANCE LTD.,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADORFO,Ador Fontech Ltd,ADOR FONTECH LTD.-$,X ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments
ADORMUL,Ador Multiproducts Ltd,ADOR MULTIPRODUCTS LTD.,X ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Personal Products,Personal Care
ADORWELD,Ador Welding Ltd.,ADOR WELDING LTD.,B ,N,D,100,Industrials,Capital Goods,Industrial Products,Electrodes
ADROITINFO,Adroit Infotech Limited,Adroit Infotech Ltd,T ,N,N,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADSL,Allied Digital Services Limited,ALLIED DIGITAL SERVICES LTD.,B ,N,N,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
ADVAIT,Advait Infratech Limited,Advait Infratech Ltd,M ,N,N,100,Industrials,Capital Goods,Industrial Products,Cables - Electricals
ADVANIHOTR,Advani Hotels & Resorts India Ltd.,ADVANI HOTELS & RESORTS (INDIA) LTD.,B ,N,N,100,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
ADVENZYMES,Advanced Enzyme Technologies Limited,Advanced Enzyme Technologies Ltd,A ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ADVIKCA,Advik Capital Limited,Advik Capital Ltd,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ADVIKLA,Advik Laboratories Ltd.,ADVIK LABORATORIES LTD.,XT,N,D,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ADVLIFE,Advance Lifestyles Ltd.,ADVANCE LIFESTYLES LTD.,XT,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ADVPETR-B,"Advance Petrochemicals Ltd.,",ADVANCE PETROCHEMICALS LTD.,P ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
AEGISLOG,Aegis Logistics Ltd.,AEGIS LOGISTICS LTD.,A ,N,N,100,Energy,"Oil, Gas & Consumable Fuels",Gas,Trading - Gas
AEL,Amba Enterprises Ltd.,Amba Enterprises Ltd,X ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
AEPL,Artemis Electricals and Projects Limited,Artemis Electricals and Projects Ltd,B ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
AETHER,Aether Industries Limited,Aether Industries Ltd,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
AFEL,A.F. Enterprises Limited,A.F. Enterprises Ltd,X ,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
AFFLE,Affle India Limited,Affle (India) Ltd,A ,N,N,100,Information Technology,Information Technology,IT - Services,IT Enabled Services
AFFORDABLE,Affordable Robotic & Automation Limited,Affordable Robotic & Automation Ltd,M ,N,N,100,Industrials,Capital Goods,Industrial Manufacturing,Industrial Equipments
AGARIND,Agarwal Industrial Corporation Limited,AGARWAL INDUSTRIAL CORPORATION LTD.,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Petrochemicals
AGI,AGI GREENPAC LIMITED,Agi Greenpac Ltd,B ,N,N,100,Industrials,Capital Goods,Industrial Products,Packaging
AGIIL,AGI Infra Limited,AGI Infra Ltd,B ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
AGIOPAPER,Agio Paper & Industries Limited,AGIO PAPER & INDUSTRIES LTD.-$,X ,N,N,100,Commodities,Forest Materials,"Paper, Forest & Jute Products",Paper & Paper Products
AGOL,Ashapuri Gold Ornament Limited,Ashapuri Gold Ornament Ltd,T ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
AGRIMONY,Agrimony Commodities Limited,Agrimony Commodities Ltd,MT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
AGRITECH,Agri-Tech India Ltd.,Agri- Tech (India) Ltd,T ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
AGSTRA,AGS TRANSACT TECHNOLOGIES LIMITED,AGS Transact Technologies Ltd,B ,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
AHLEAST,Asian Hotels East Limited,ASIAN HOTELS (EAST) LTD.,B ,N,N,100,Consumer Discretionary,Consumer Services,Leisure Services,Hotels & Resorts
AHLUCONT,Ahluwalia Contracts India Ltd,AHLUWALIA CONTRACTS (INDIA) LTD.,A ,N,N,100,Industrials,Construction,Construction,Civil Construction
AHMDSTE,Ahmedabad Steelcraft Ltd.,AHMEDABAD STEELCRAFT LTD.,X ,N,D,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AIAENG,AIA Engineering Ltd.,AIA ENGINEERING LTD.,A ,N,N,100,Industrials,Capital Goods,Industrial Products,Castings & Forgings
AICHAMP,AI CHAMPDANY INDUSTRIES LIMITED,AI CHAMPDANY INDUSTRIES LTD.,XT,N,N,100,Commodities,Forest Materials,"Paper, Forest & Jute Products",Jute & Jute Products
AIHL,AMBASSADOR INTRA HOLDINGS LIMITED,Ambassador Intra Holdings Ltd,XT,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
AIIL,Authum Investment & Infrastructure Limited,Authum Investment & Infrastructure Ltd,B ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AIMCOPEST,"Aimco Pesticides Ltd.,",AIMCO PESTICIDES LTD.,X ,N,N,100,Commodities,Chemicals,Fertilizers & Agrochemicals,Pesticides & Agrochemicals
AIML,Alliance Integrated Metaliks Limited,ALLIANCE INTEGRATED METALIKS LTD.,X ,N,N,100,Industrials,Capital Goods,Industrial Products,Iron & Steel Products
AINFRA,A Infrastructure Limited,A Infrastructure Ltd,X ,N,N,100,Commodities,Construction Materials,Cement & Cement Products,Cement & Cement Products
AISHWARYA,AISHWARYA TECHNOLOGIES AND TELECOM LIMITED,Aishwarya Technologies And Telecom Ltd,Z ,N,N,100,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
AJANTPHARM,Ajanta Pharma Ltd.,AJANTA PHARMA LTD.,A ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
AJANTSOY,Ajanta Soya Limited,AJANTA SOYA LTD.,X ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Edible Oil
AJCON,Ajcon Global Services Ltd.,AJCON GLOBAL SERVICES LTD.,X ,N,N,100,Financial Services,Financial Services,Finance,Other Financial Services
AJEL,AJEL Limited,AJEL LTD.,Z ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
AJIL,Atlas Jewellery India Limited,Atlas Jewellery India Limited,Z ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
AJMERA,Ajmera Realty & Infra India Limited,AJMERA REALTY & INFRA INDIA LTD.,B ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
AJRINFRA,AJR INFRA AND TOLLING LIMITED,AJR Infra And Tolling Ltd,B ,N,N,100,Industrials,Construction,Construction,"Engineering, Designing & Construction"
AJWAFUN,Ajwa Fun World & Resorts Ltd,AJWA FUN WORLD & RESORT LTD.,P ,N,N,100,Consumer Discretionary,Consumer Services,Leisure Services,Amusement Parks/ Other Recreation
AKASHDEEP,AKASHDEEP METAL INDUSTRIES LIMITED,Akashdeep Metal Industries Ltd,XT,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AKCAPIT,A.K.Capital Services Ltd.,A.K.CAPITAL SERVICES LTD.,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
AKI,AKI India Limited,AKI India Ltd,M ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,"Gems, Jewellery And Watches"
AKM,AKM Lace and Embrotex Limited,AKM Lace and Embrotex Ltd,M ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AKSCHEM,AksharChem India Ltd.,AKSHARCHEM (INDIA) LTD.-$,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Dyes And Pigments
AKSHAR,Akshar Spintex Limited,Akshar Spintex Ltd,B ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AKSHOPTFBR,Aksh Optifibre Ltd.,AKSH OPTIFIBRE LTD.,B ,N,N,100,Telecommunication,Telecommunication,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories
AKSPINTEX,A.K. Spintex Ltd.,A.K. Spintex Ltd,X ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
AKZOINDIA,Akzo Nobel India Limited,Akzo Nobel India Limited,A ,N,N,100,Consumer Discretionary,Consumer Durables,Consumer Durables,Paints
ALAN SCOTT,Alan Scott Industries Ltd.,Alan Scott Industries Ltd,X ,N,N,100,Consumer Discretionary,"Media, Entertainment & Publication",Entertainment,"Film Production, Distribution & Exhibition"
ALANKIT,Alankit Limited,Alankit Ltd,B ,N,N,100,Services,Services,Commercial Services & Supplies,Diversified Commercial Services
ALBERTDA,"Albert David Ltd.,",ALBERT DAVID LTD.-$,B ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALCHCORP,Alchemist Corporation Ltd,ALCHEMIST CORPORATION LTD.,XT,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Commodity Chemicals
ALEMBICLTD,Alembic  Ltd,ALEMBIC LTD.,A ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ALEXANDER,Alexander Stamps And Coin Limited,Alexander Stamps And Coin Ltd,X ,N,E,100,Diversified,Diversified,Diversified,Diversified
ALFAICA,Alfa Ica India Ltd,ALFA ICA (INDIA) LTD.,XT,N,N,100,Industrials,Capital Goods,Industrial Products,Plastic Products - Industrial
ALFATRAN,Alfa Transformers ltd.,ALFA TRANSFORMERS LTD.,X ,N,N,100,Industrials,Capital Goods,Electrical Equipment,Other Electrical Equipment
ALFAVIO,Alfavision Overseas India Ltd.,ALFAVISION OVERSEAS (INDIA) LTD.,X ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Agricultural Food & other Products,Other Agricultural Products
ALFL,Abhinav Leasing & Finance Limited,Abhinav Leasing & Finance Ltd,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ALFREDHE,"Alfred Herbert India Ltd.,",ALFRED HERBERT (INDIA) LTD.,X ,N,N,100,Financial Services,Financial Services,Finance,Non Banking Financial Company (NBFC)
ALICON,Alicon Castalloy Limited,Alicon Castalloy Limited,B ,N,N,100,Consumer Discretionary,Automobile and Auto Components,Auto Components,Auto Components & Equipments
ALKALI,Alkali Metals Limited,ALKALI METALS LTD.,B ,N,N,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ALKEM,Alkem Laboratories Limited,Alkem Laboratories Ltd,A ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALKOSIGN,ALKOSIGN LIMITED,Alkosign Ltd,M ,N,N,100,Fast Moving Consumer Goods,Fast Moving Consumer Goods,Household Products,Stationary
ALKYLAMINE,"Alkyl Amines Chemicals Ltd.,",ALKYL AMINES CHEMICALS LTD.-$,A ,N,D,100,Commodities,Chemicals,Chemicals & Petrochemicals,Specialty Chemicals
ALLCARGO,Allcargo Logistics Ltd,ALLCARGO LOGISTICS LTD.,A ,N,N,100,Services,Services,Transport Services,Logistics Solution Provider
ALLSEC,Allsec Technologies Ltd.,ALLSEC TECHNOLOGIES LTD.,B ,N,N,100,Services,Services,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)
ALMONDZ,Almondz Global Securities Limited,ALMONDZ GLOBAL SECURITIES LTD.,B ,N,N,100,Financial Services,Financial Services,Capital Markets,Stockbroking & Allied
ALNATRD,"Alna Trading & Exports Ltd.,",ALNA TRADING & EXPORTS LTD.,P ,N,N,100,Services,Services,Commercial Services & Supplies,Trading & Distributors
ALOKTEXT,Alok Industries Ltd.,ALOK INDUSTRIES LTD.,T ,N,N,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
ALPA,Alpa Laboratories Limited,ALPA LABORATORIES LTD.,B ,N,N,100,Healthcare,Healthcare,Pharmaceuticals & Biotechnology,Pharmaceuticals
ALPHAGEO,Alphageo IndiaLtd.,ALPHAGEO (INDIA) LTD.-$,B ,N,N,100,Energy,"Oil, Gas & Consumable Fuels",Oil,Offshore Support Solution Drilling
ALPHALOGIC,Alphalogic Techsys Limited,Alphalogic Techsys Ltd,B ,N,N,100,Information Technology,Information Technology,IT - Software,Computers - Software & Consulting
ALPINEHOU,Alpine Housing Development Corporat,ALPINE HOUSING DEVELOPMENT CORPORATION LTD.,X ,N,N,100,Consumer Discretionary,Realty,Realty,"Residential, Commercial Projects"
ALPSINDUS,Alps Industries Ltd.,ALPS INDUSTRIES LTD.,T ,N,D,100,Consumer Discretionary,Textiles,Textiles & Apparels,Other Textile Products
